iter	Logloss
0	0.6602621974
1	0.6317055555
2	0.6079990854
3	0.582779836
4	0.5638721221
5	0.5449188809
6	0.528764926
7	0.5133359261
8	0.5004779655
9	0.4886626819
10	0.4775016207
11	0.4703088723
12	0.4617775548
13	0.4536390005
14	0.4462365676
15	0.4391086633
16	0.4326104225
17	0.4279198118
18	0.4230376846
19	0.4184259569
20	0.4142790175
21	0.4097919874
22	0.4064737321
23	0.4036793288
24	0.4001204393
25	0.3970449727
26	0.3942232458
27	0.3913692045
28	0.3893486945
29	0.3872392122
30	0.3853698617
31	0.3836475056
32	0.3813435627
33	0.3795102247
34	0.3776732244
35	0.3762472271
36	0.3751266364
37	0.3736278599
38	0.3725638194
39	0.371472958
40	0.3704177861
41	0.369437727
42	0.3681357092
43	0.366950418
44	0.3654346944
45	0.3645325489
46	0.3633728938
47	0.3625094897
48	0.3613584158
49	0.3602305724
50	0.3591698711
51	0.358467213
52	0.3575808297
53	0.3569284744
54	0.355617588
55	0.3550017478
56	0.3543219253
57	0.3537791874
58	0.3530541247
59	0.3522637152
60	0.351607518
61	0.3510241717
62	0.3502063668
63	0.3496535756
64	0.348937884
65	0.348257092
66	0.3475985251
67	0.3469350033
68	0.3464057657
69	0.3459165979
70	0.3453574515
71	0.3446712379
72	0.3438691592
73	0.3434141011
74	0.3427836836
75	0.3424244914
76	0.3417090871
77	0.3413028954
78	0.3409281564
79	0.3402019088
80	0.3392702496
81	0.3389480394
82	0.3382377694
83	0.3376826085
84	0.3371769245
85	0.3367201429
86	0.3363170749
87	0.3360943571
88	0.335736637
89	0.3352526036
90	0.3348331271
91	0.334351643
92	0.3340132756
93	0.3337262522
94	0.3331406439
95	0.3326680642
96	0.3323192126
97	0.3319590868
98	0.3316923137
99	0.331290682
100	0.3307601518
101	0.3301710249
102	0.3297747789
103	0.3294444542
104	0.3292359906
105	0.3288328508
106	0.3283139538
107	0.3278465444
108	0.327616466
109	0.3274355055
110	0.3274031194
111	0.3270891673
112	0.3267827552
113	0.3264219473
114	0.3260348929
115	0.3254367898
116	0.3251824398
117	0.3247845062
118	0.3242907426
119	0.3240444712
120	0.3237221892
121	0.3234952346
122	0.3229876117
123	0.322352742
124	0.3218378663
125	0.3214902714
126	0.3211369317
127	0.3206629157
128	0.3203977224
129	0.3198363859
130	0.319584621
131	0.3193029833
132	0.3188969712
133	0.3186776284
134	0.3184029562
135	0.3179885064
136	0.317707156
137	0.3173063141
138	0.3170829141
139	0.3169193315
140	0.3165420433
141	0.3161523679
142	0.315832312
143	0.3155623433
144	0.3151792385
145	0.3148588953
146	0.3145980106
147	0.3142842022
148	0.3140318628
149	0.3137490044
150	0.313569875
151	0.3133200131
152	0.3130108005
153	0.3126594355
154	0.3122749304
155	0.3120103475
156	0.3116006372
157	0.3112457176
158	0.3110631055
159	0.310812346
160	0.3102997682
161	0.3098975261
162	0.3095346716
163	0.3091025925
164	0.3087875274
165	0.308329525
166	0.3077026621
167	0.3074938394
168	0.3071264609
169	0.3068934743
170	0.3064885393
171	0.3061725766
172	0.3058611019
173	0.3055592498
174	0.3051858751
175	0.3047223793
176	0.3044622486
177	0.3041735377
178	0.3039143046
179	0.3036965057
180	0.3033994289
181	0.3031879852
182	0.3027876101
183	0.3024174669
184	0.3023233603
185	0.3020574489
186	0.3017093154
187	0.301453601
188	0.3011491637
189	0.3008916182
190	0.3005963905
191	0.3003385756
192	0.3000801325
193	0.2998834456
194	0.29943801
195	0.2991603577
196	0.2989316079
197	0.2984354925
198	0.2982129721
199	0.2979295751
200	0.2977266408
201	0.2974668512
202	0.2972573463
203	0.2969328023
204	0.2967021316
205	0.2963993459
206	0.2959568365
207	0.2956921997
208	0.2954833232
209	0.294906386
210	0.2945298158
211	0.2942534741
212	0.2940849546
213	0.2938843542
214	0.2936397344
215	0.2934174474
216	0.292943611
217	0.2928257712
218	0.2925710442
219	0.2920581972
220	0.2918291242
221	0.2916901185
222	0.2914667005
223	0.2912253481
224	0.2908813077
225	0.29063062
226	0.290283815
227	0.2899183394
228	0.2897130534
229	0.2894197825
230	0.2892543868
231	0.2891316281
232	0.2890042017
233	0.288781071
234	0.2884797754
235	0.2882971992
236	0.2881442265
237	0.2877914972
238	0.2873732415
239	0.2871133442
240	0.2869504259
241	0.2864784386
242	0.2861502502
243	0.2859788943
244	0.2857751342
245	0.2856492159
246	0.2852767748
247	0.2848758791
248	0.284635873
249	0.2844694899
250	0.2842293223
251	0.2839661397
252	0.2835176162
253	0.2831959087
254	0.2829628862
255	0.2826074819
256	0.2824069533
257	0.2822410369
258	0.2820135258
259	0.2819142309
260	0.2816850681
261	0.2813679923
262	0.2810093387
263	0.280826188
264	0.2805484101
265	0.2801900078
266	0.2797845881
267	0.2794827
268	0.2791952098
269	0.279023046
270	0.2789322426
271	0.2788490152
272	0.2787229532
273	0.278525656
274	0.2783131172
275	0.2781472727
276	0.2779831336
277	0.2778134832
278	0.2775786654
279	0.2774892623
280	0.2773342969
281	0.2768643023
282	0.2765201363
283	0.2761518422
284	0.2758470818
285	0.2754722351
286	0.27523941
287	0.2750279483
288	0.2747606008
289	0.2745632138
290	0.2743546245
291	0.2742293345
292	0.2740001179
293	0.2737852094
294	0.2735610554
295	0.2731790995
296	0.2729704743
297	0.2727217613
298	0.2724492435
299	0.2717973189
300	0.2716261066
301	0.2715014809
302	0.2712424273
303	0.271110477
304	0.2708728227
305	0.2705074728
306	0.2702655459
307	0.2698526939
308	0.2695612182
309	0.2693036188
310	0.2690956579
311	0.2688524922
312	0.2686199903
313	0.2683912584
314	0.2682463823
315	0.2681573921
316	0.2679057888
317	0.2676473097
318	0.2672234529
319	0.266872429
320	0.2667572642
321	0.2666491367
322	0.2663581458
323	0.266161459
324	0.2660362587
325	0.2658925316
326	0.265715772
327	0.2654803797
328	0.2653075337
329	0.2651262501
330	0.2649823614
331	0.2647760162
332	0.2645853793
333	0.2644641825
334	0.2641323318
335	0.2639121453
336	0.2638259377
337	0.2636270068
338	0.2631702073
339	0.2628351252
340	0.2626742355
341	0.2624719475
342	0.262300807
343	0.2619959568
344	0.261799665
345	0.2615808608
346	0.2614057169
347	0.2612518107
348	0.2609536029
349	0.2606496503
350	0.2603073513
351	0.2601020114
352	0.2599161679
353	0.2595274619
354	0.2593800186
355	0.2591089549
356	0.2590290486
357	0.2588927358
358	0.2586356211
359	0.2583909654
360	0.2581591816
361	0.2580120614
362	0.2578319627
363	0.2576113991
364	0.2574560747
365	0.257351448
366	0.257231418
367	0.2570996472
368	0.2569822024
369	0.2568421734
370	0.2564111715
371	0.2562165672
372	0.2560654436
373	0.2557892814
374	0.2554542352
375	0.255270905
376	0.2548211249
377	0.2547169649
378	0.2545754997
379	0.2544617352
380	0.2541286638
381	0.2540588647
382	0.2539030017
383	0.2536863518
384	0.2534649984
385	0.2532415624
386	0.2529950397
387	0.2527001531
388	0.2525508248
389	0.2523002268
390	0.2520852824
391	0.2519402806
392	0.251695948
393	0.2515110919
394	0.2512931494
395	0.2509948877
396	0.2507894581
397	0.250652499
398	0.2505211949
399	0.2502745285
400	0.2500327452
401	0.2498148386
402	0.2495768612
403	0.2493986834
404	0.2493099086
405	0.2490302995
406	0.2488716898
407	0.2487318584
408	0.2485184937
409	0.2483540136
410	0.248162156
411	0.248006652
412	0.2478023893
413	0.2475297996
414	0.2474222825
415	0.24721188
416	0.2469292549
417	0.2466293955
418	0.2464528693
419	0.2462731296
420	0.2461237474
421	0.245838986
422	0.2456450279
423	0.2454976744
424	0.2453511466
425	0.2451504385
426	0.2450650029
427	0.2448830191
428	0.2446765482
429	0.244475481
430	0.244222639
431	0.2439781269
432	0.2438209175
433	0.24360258
434	0.2433327191
435	0.2431555825
436	0.2429400636
437	0.2427860317
438	0.2425760063
439	0.2423053555
440	0.2421455968
441	0.2419172778
442	0.2416254611
443	0.2414330649
444	0.2413105395
445	0.2410763321
446	0.2408592693
447	0.2406384544
448	0.2403864921
449	0.2401070805
450	0.240018952
451	0.239860845
452	0.2398141507
453	0.2396311795
454	0.2394063433
455	0.239264555
456	0.2390877595
457	0.2388731023
458	0.2386652311
459	0.238456983
460	0.2383631995
461	0.2381956674
462	0.2379860907
463	0.2378493471
464	0.2375836152
465	0.2373736975
466	0.2371553421
467	0.2369854582
468	0.2368772051
469	0.236697214
470	0.2364416074
471	0.2363167303
472	0.2361063996
473	0.2360124366
474	0.2358814916
475	0.2357657702
476	0.2356518441
477	0.2355434653
478	0.2354469889
479	0.2352161745
480	0.2351422105
481	0.2350411384
482	0.234928433
483	0.2347330029
484	0.234536334
485	0.2344611313
486	0.2343175657
487	0.2341614514
488	0.2338726327
489	0.2336423569
490	0.2335230271
491	0.2334576623
492	0.2333792281
493	0.2332633811
494	0.2331181459
495	0.2328216975
496	0.2326573789
497	0.2325135261
498	0.2322623177
499	0.2320330652
